#0	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E1.srt
#1	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E2.srt
#2	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E3.srt
#3	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E4.srt
#4	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E5.srt
#5	/Users/bu/bio/proj/learn/python/txt2word/lib/S01E6.srt
word           total	0	1	2	3	4	5	example
abandoned      1	0	0	0	0	1	0	Up by a big abandoned rock quarry.
able           3	1	0	1	1	0	0	Come on up when you're able.
about          56	6	8	16	13	7	6	She'll bitch about global warming.
abruptly       1	0	0	0	0	1	0	and 63 days since the disease abruptly went global.
abuela         3	0	0	0	3	0	0	Abuela, go back with the others-- now.
accepted       1	0	0	0	0	1	0	She accepted it, you know?
accident       1	0	1	0	0	0	0	- It was an accident! - Don't leave me, man!
accurate       1	1	0	0	0	0	0	Scope's accurate.
across         2	0	0	0	2	0	0	Probably just came across some folks needing help, that's all.
active         1	1	0	0	0	0	0	They're even more active after dark sometimes.
actually       2	1	0	0	0	0	1	You know... I don't actually say that,tho.
adamant        1	0	0	0	1	0	0	But he was always so adamant.
add            1	0	0	0	0	1	0	I guess I'll just add it to the list of habits that I'm breaking
adding         1	0	0	0	0	1	0	Without adding guilt into the mix, huh?
admission      1	0	0	0	0	0	1	That's the price of admission.
admit          2	0	0	0	1	1	0	Admit it, you only came back to Atlanta for the hat.
adrenal        1	0	0	0	0	0	1	The adrenal glands hemorrhage,
advice         1	0	1	0	0	0	0	Got any advice for me?
advise         1	1	0	0	0	0	0	Highway 18, 85 Interstate, please advise.
advised        1	1	0	0	0	0	0	Be advised, they have fired on police officers.
aerosol        1	0	0	0	0	0	1	cocoists of a two-stage aerosol ignition
affair         1	0	0	0	0	1	0	Like a week long affair.
afford         2	2	0	0	0	0	0	Can't afford not to. Not anymore.
afraid         4	2	1	0	0	0	1	Don't be afraid, OK?
after          13	4	1	3	0	4	1	everything I say makes her impatient,like she didn't want to hear it after all.
afterwards     1	0	0	0	1	0	0	Afterwards, we'll all meet back here.
again          10	1	2	2	0	2	3	Try to raise him again.
against        1	0	0	1	0	0	0	Maybe half a dozen geeks can squeeze against it
ago            2	0	0	0	0	1	1	Wish I could have done it a month ago,
agonizing      1	0	0	0	0	0	1	A short, brutal life and an agonizing death.
agree          2	0	0	0	1	1	0	If I knew we'd get Glenn back, I might agree.
ahah           1	1	0	0	0	0	0	Bring it, bring it bring it around ahah
ahead          4	1	0	0	1	2	0	You feel that need, you go right ahead.
air            8	2	0	0	0	1	5	Maybe it's the cool air or... Hell, maybe it's just me firing up that gun today.
alarm          2	0	0	1	1	0	0	Well, the alarm was echoing all over these hills.
albums         4	3	0	1	0	0	0	My photo albums, family pictures, all gone.
alert          1	0	0	0	0	1	0	Alert status.
alive          9	1	1	3	0	1	3	They're alive.
all            146	12	18	27	29	31	29	It's like I... come home, house all lit up,
alley          8	0	4	0	4	0	0	There's an alley up the street, maybe 50 yards.
allows         1	0	0	0	0	1	0	If god allows,
almost         4	0	0	0	0	2	2	We're almost there, baby.
alone          11	1	0	2	6	0	2	Nobody goes anywhere alone, you know that.
along          5	1	0	1	0	3	0	You sure you won't come along?
already        2	0	1	0	0	0	1	How much time? They already got through one set of doors,
alright        6	6	0	0	0	0	0	Alright, Reverend Shane's preaching to you now, boy.
always         20	4	2	0	4	5	5	"Always,always yelling about the power bill,"
ambulance      1	1	0	0	0	0	0	You get that ambulance down here,
amen           2	2	0	0	0	0	0	- Amen. - Amen.
ammo           4	1	1	1	1	0	0	Conserve your ammo.
amps           1	0	0	0	0	1	0	Could have saved a lot of amps.
amuse          1	1	0	0	0	0	0	Look, man, I may have a... fail to amuse with my sermon, but I did try.
amy            19	0	3	1	6	5	4	- Where you been? - Amy the mushroom queen--
and            208	32	27	41	47	23	38	What's the difference between men and women?
andrea         12	0	2	4	1	2	3	Just chill out, Andrea. Back off.
anger          1	0	0	1	0	0	0	the anger and the bad times.
angry          1	0	0	0	0	1	0	So angry.
animal         1	0	0	1	0	0	0	We left him like an animal caught in a trap.
anmoer         1	0	1	0	0	0	0	翻譯 anmoer 原子蛋
annoying       1	0	0	0	0	0	1	Mom has that annoying habit.
another        2	0	0	1	0	1	0	Maybe we'll get to steal another one someday.
answer         5	2	0	0	2	1	0	You answer me, damn you!
answers        2	0	0	0	0	1	1	Forget Fort Benning. We need answers tonight, now.
any            19	0	4	4	3	5	3	Any luck?
anybody        26	9	10	3	2	0	2	You know anybody could've broken in here and stolen clothes, right?
anyhow         1	0	0	0	1	0	0	Bunch of old farts who are gonna die off momentarily anyhow?
anymore        6	1	3	0	0	1	1	Can't afford not to. Not anymore.
anyone         3	0	0	0	2	1	0	I don't want to alarm anyone,
anything       20	5	1	2	1	6	5	What else? Anything?
anyway         7	2	2	1	1	0	1	Anyway, uh... Polite version...
anywhere       4	2	0	1	0	0	1	Nobody goes anywhere alone, you know that.
apart          4	0	1	0	2	0	1	- Not apart.　- Screw you, man.
apocalypse     1	0	0	0	1	0	0	Had I been informed of the impending apocalypse
apology        1	0	0	1	0	0	0	No apology needed.
apparently     1	1	0	0	0	0	0	and my job, apparently because...
appearances    1	0	0	0	1	0	0	Appearances.
appears        2	0	0	2	0	0	0	Look, I don't know how it appears to you
applies        1	0	0	0	0	0	1	or anything that draws power. The same applies--
apply          1	0	1	0	0	0	0	I don't think those rules apply anymore. Do you?
appreciate     3	0	0	1	1	1	0	I appreciate the cooperation.
approached     1	0	0	0	0	0	1	That started as we approached the half-hour mark.
approaching    2	2	0	0	0	0	0	We'll be approaching Atlanta on Highway 85.
